SONG,ARTIST,MF CODE,TRACK
Don't Take It Personal (Just One Of,Monica,SC8199,8
Don't Take The Girl,Tim Mcgraw,SC8120,12
Don't Take The Girl,Tim Mcgraw (Vocal),PS1219,4
Don't Take Your Guns To Town,Johnny Cash,SC8262,8
Don't Talk,Jon B,SC8688,5
Don't Talk To Him,Cliff Richard,ZPA030,11
Don't Talk To Strangers,Rick Springfield,ZPA110,2
Don't Tell Mama,Cabaret,PS1110-1,9
Don't Tell Mama,Cabaret (Vocal),PS1110-1,3
Don't Tell Me,Avril Lavigne,ZPA058,3
Don't Tell Me,Avril Lavigne (Vocal),PHM0406,12
Don't Tell Me,Lee Ann Womack,SC8584,7
Don't Tell Me,Madonna,TT027,4
Don't Tell Me,Madonna (Vocal),PHM0102,10
Don't Tell Me,Van Halen,SC8156,15
Don't Tell Me Goodnight,Lobo,SC8594,9
Don't Tell Me That It's Over,Amy Macdonald,SF290,9
Don't Tell Me What To Do,Pam Tillis,SC8112,14
Don't Tell Me You Love Me,Night Ranger,SC8516,8
Don't The Girls All Get Prettier At,Mickey Gilley,SC8403,8
Don't Think I Can't Love You,Jake Owen,CBE10-10,7
Don't Think I Don't Think About It,Darius Rucker,CBE09-09,3
Don't Think I'm Not,Kandi,SC8645,7
Don't Think I'm Not,Kandi (Vocal),PHM0011,15
Don't Think Twice,Frankie Valli,LEG156,8
Don't Think Twice It's All Right,Bob Dylan,CBE10-13,15
Don't Think Twice It's Alright,Bob Dylan,LEG224,3
Don't Think Twice It's Alright,Eric Clapton,SGB0027,5
Don't Think Twice It's Alright,Eric Clapton And Bob Dylan,HD008,2
Don't Throw It All Away (Our Love),Andy Gibb,JV0048,5
Don't Throw Your Love Away,Searchers,ZPA012,8
Don't Toss Us Away,Patty Loveless,SC8157,1
Don't Touch Me There,Crystal Bernard,SC8501,9
Don't Tread On Me,311,PHM0512,5
Don't Tread On Me,311 (Vocal),PHM0512,14
Don't Trust Me,30h!3,PHM0903,1
Don't Trust Me,30h!3 (Vocal),PHM0903,10
Don't Trust Me,3oh 3,SFKK33,10
Don't Trust Me,3oh3,SF281,15
Don't Try To Own Me,Gary Wright,SC8302,2
Don't Turn Around,Ace Of Base,SF009,1
Don't Turn Around,Aswad,SFMW809,6
Don't Turn Off The Lights,Enrique Iglesias,SC8775,9
Don't Turn Off The Lights,Enrique Iglesias (Vocal),PHM0209,11
Don't Upset The Rhythm,Noisettes,SF278,12
Don't Wait,Dashboard Confessional,THMR0609,15
Don't Wait,Dashboard Confessional (Vocal,THMR0609,6
Don't Walk Away,Jade,SC8374,6
Don't Wanna Be A Player,Joe Tex,SC8381,1
Don't Wanna Be Left Out,Powderfinger,SFID006,10
Don't Wanna Fall In Love,Jane Child,HD001,5
Don't Wanna Go Home,Jason Derulo,SFKK60,2
Don't Wanna Go Home (Clean Version),Jason Derulo,SF305,8
Don't Wanna Lose You,Gloria Estefan,SFMW809,12
Don't Wanna Lose You,Lionel Richie,SC8277,14
Don't Wanna Think About You,Simple Plan,PHM0407,5
Don't Wanna Think About You,Simple Plan (Vocal),PHM0407,14
Don't Wanna Try,Frankie J,PHM0307,7
Don't Wanna Try,Frankie J (Vocal),PHM0307,16
Don't Want To Be A Fool,Luther Vandross,SC8272,15
Don't Want To Forgive Me Now,Wet Wet Wet,SF027,9
Don't Want To Go To Bed Now,Gabriella Cilmi,SFKK27,2
Don't Want To Walk,Barry Manilow,LEG165,12
Don't Waste My Time,Little Big Town,SC8759,7
Don't Waste Your Heart,Dixie Chicks,SC8665,14
Don't Waste Your Time,Kelly Clarkson,SFKK23,1
Don't We All Have The Right,Ricky Van Shelton,SC8529,1
Don't Worry,Appleton,EZH020,6
Don't Worry,Kim Appleby,SF112,5
Don't Worry,Marty Robbins,SC8158,5
Don't Worry Baby,Beach Boys,SC7560-V2,12
Don't Worry Baby,Lorrie Morgan,SC8351,6
Don't Worry Be Happy,Bobby Mcferrin,SF016,4
Don't Worry Be Happy,Guy Sebastian,SFKK66,1
Don't Worry 'bout Me,Rosemary Clooney,DKG036,16
Don't Ya,Pussycat Dolls,SFKK05,10
Don't You,Forester Sisters,SC8676,13
Don't You Care,Buckinghams,LC001,8
Don't You Ever Get Tired (Of Hurtin,Ronnie Milsap,CBE10-04,6
Don't You Ever Get Tired Of Hurting,Ronni Milsap,SC8461,8
Don't You Ever Get Tired Of Hurting,Ronnie Milsap,MM6088,12
Don't You Forget About Me,Simple Minds,SF007,12
Don't You Forget It,Glenn Lewis,SC8757,11
Don't You Get So Mad,Jeffrey Osborne,LEG225,11
Don't You Just Know It,Dj Otzi,BRTSPK006,8
Don't You Know What The Night Can D,Steve Winwood,CBE10-20,9
Don't You Know You're Beautiful,Kellie Pickler,CBE09-09,12
Don't You Think It's Time,Bob Evans,SFID001,15
Don't You Wanna Feel,Rogue Traders,SFKK20,3
Don't You Want Me,Human League,ZGY81,7
Don't You Want Me,Jody Watley,SC7559,14
Don't You Worry About A Thing,Stevie Wonder,SFMW830,3
Doo Wop,Lauryn Hill,US02,8
Doo Wop,Lauryn Hill (Vocal),PS1391,5
Dooley,Dillards,SC8693,4
Doolin-dalton,Eagles,ZPA050,3
Door,Aaron Tippin,SC8504,12
Door,George Jones,SC8385,12
Dope Nose,Weezer,SC8758-V2,13
Dosen't Really Matter,Janet Jackson,SFTP01,14
Dottie West And Kenny Rogers,Dottie West And Kenny Rogers,SC7588,7
Double Back,Zz Top,LEG208,8
Double Dutch Bus,Frankie Smith,SC8892,2
Double Shot Of My Baby's Love,Swingin' Medallions,SC7531,15
Double Trouble,Lynyrd Skynyrd,LEG204,7
Double Vision,3oh 3,PHM1012,5
Double Vision,3oh 3 (Vocal),PHM1012,14
Double Vision,Foreigner,SC8684,9
Double Wide Paradise,Toby Keith,SC8464,7
Doubt,Delphic,SF288,11
Down,311,SC8598,11
Down,Jay Sean,SFHH05-3,5
Down,Jay Sean And Lil Wayne,SFKK39,5
Down,Jay Sean Feat Lil Wayne,SF284,8
Down,Moke,SC8572,12
Down 4 U,Inc Ja Rule Ashanti Charli B,SC8773,9
Down And Out,George Strait,SC8483,3
Down At The Old Bull And Bush,Medley,PX005,13
Down At The Twist And Shout,Mary Carpenter,DKK073,1
Down At The Twist And Shout,Mary Chapin Carpenter,SC8103,9
Down At The Twist And Shout,Mary Chapin Carpenter (Vocal),PS0102,1
Down Boy,Holly Valance,SFTP3-03,3
Down Boy,Holly Vallance,SF196,1
Down Boys,Warrant,SC8597,13
Down By The River,Neil Young,DG010,7
Down By The Riverside,Childrens,PR9041,14
Down By The Riverside,Standard,DKK096,4
Down By The Station,Four Preps,SAVP040,4
Down By The Water,Pj Harvey,SC8600,3
Down Came A Blackbird,Lila Mccann,SC8382,9
Down Down,Status Quo,ZPA086,1
Down For Whatever,Kelly Rowland,SFKK65,13
Down Home,Alabama,SC8786,4
Down In Flames,Blackhawk,SC8159,5
Down In Mississippi (Up To No Good),Sugarland,THM2006,--
Down In Mississippi (Up To No),Sugarland,BH0314,5
Down In Tennessee,Mark Chesnutt,SC8186,9
Down In The Boondocks,Billy Joe Royal,SC8419,7
Down In The Tube Station At Midnigh,Jam,SFGD008,6
Down In The Valley,Standard,DKK096,8
Down Low,R Kelly,PS1253,13
Down Low,R Kelly (Vocal),PS1253,6
Down Low (Nobody Has To Know),R Kelly,SC8263,8
Down On Me,Janis Joplin,SC8591,12
Down On My Knees,Bread,CBE10-15,6
Down On The Beach,Drifters,SFMW819,11
Down On The Beach Tonight,Drifters,ZPA063,5
Down On The Corner,Creedence Clearwater Revival,TT053,3
Down On The Farm,Tim Mcgraw,SC8141,4
Down On The Farm,Tim Mcgraw (Vocal),PS1219,5
Down So Long,Jewel,SC8531,9
Down To My Last Broken Heart,Janie Fricke,SC7568,15
Down To My Last Teardrop,Tanya Tucker,SC7536,9
Down Town,Days Of The New,SC8469,13
Down Under,Men At Work,ZLP08,12
Down With The Sickness,Disturbed,SC8765,8
Down With The Trumpets,Rizzle Kicks,SF307,14
Downfall,Trust Company,SC8783,11
Downtime,Jo Dee Messina,TT038,4
Downtown,Emma Bunton,EZH060,12
Downtown,Petula Clark,SFPL018,7
Downtown Strutters Ball,Lou Monte,SAVP030,12
Downtown Train,Rod Stewart,SC8722,2
Dozen Red Roses,Tammy Graham,SC8376,5
Dr Feelgood,Aretha Franklin,SC8776,12
Dr Feelgood,Motley Crue,SC8252,11
Dr Jones (Duet),Aqua,SF118,1
Dr Love,Tina Charles,SF098,3
Dr Pressure,Mylo Vs Miami Sound Machine,SF237,11
Drag City,Jan And Dean,SC8202,10
Draggin' The Line,Tommy James,SC8439,2
Draggin' The Line,Tommy James And The Shondells,AH8001,4
Dragula,Rob Zombie,SC7585,11
Drama,Erasure,ZPA101,9
Drama Queen,Lindsay Lohan,PHM0407,4
Drama Queen,Lindsay Lohan (Vocal),PHM0407,13
Draw The Line,Aerosmith,SC8406,10
Dreadlock Holiday,10cc,SF023,12
Dream A Little Dream,Beautiful South,SFGD013,8
Dream A Little Dream Of Me,Mama's And Papa's,SGB0021,2
Dream A Little Dream Of Me,Mamas And The Papas,LEG220,13
Dream A Little Dream Of Me,Michael Buble,ZPA124,1
Dream Baby,Roy Orbison,ZPA037,10
Dream Boat,Alma Cogan,EK050,10
Dream Catch Me,Newton Faulkner,SFKK22,11
Dream Lover,Bobby Darin,SC7532-V2,11
Dream Lover,Bobby Darin (Vocal),PS1299,8
Dream Lover,Mariah Carey,FC002,12
Dream On,Aerosmith,ZPA067,10
Dream On,Depeche Mode,TT059,4
Dream On Dreamer,Brand New Heavies,PI052,5
Dream On Texas Ladies,John Michael Montgomery,SC8243,7
Dream Police,Cheap Trick,SC8725,13
Dream Walkin',Toby Keith,SC8444,2
Dream Warriors,Dokken,SC8631,3
Dream Weaver,Gary Wright,SGB0060,9
Dream Your Way To Me,Shannon Lawson,SC8779,6
Dreamboat Annie,Heart,SC8338,13
Dreamer,Livin' Joy,SF029,3
Dreamer,Ozzy Osbourne,SFMW844,4
Dreamer,Supertramp,ZPA088,1
Dreamgirls,Show Tune,SC8127,13
Dreamin',Johnny Burnette,SF084,8
Dreamin',Rambler,SC3141,6
Dreamin',Vanessa Williams,SC8366,5
Dreamin' Of You,Selena,PHM9512,8
Dreamin' With My Eyes Open,Clay Walker,DKK089,6
Dreaming,Blondie,SC8535,12
Dreaming,Vanessa Williams,JV0046,4
Dreaming My Dreams With You,Colleen Hewett,SFMW883,5
Dreaming Of Me,Depeche Mode,SFGD037,7
Dreaming Of You,Coral,SFMW853,12
Dreaming Of You,Selena,SC8212,13
Dreaming Of You,Selena (Vocal),PS1222,9
Dreaming With My Eyes Open,Clay Walker,SC8129,14
Dreamlover,Mariah Carey,SFMW872,7
Dreams,Cranberries,SC8199,12
Dreams,Deep Dish,EZH055,8
Dreams,Dian Degarmo,PHM0411,2
Dreams,Dian Degarmo (Vocal),PHM0411,11
Dreams,Diana Degarmo,SPC026,9
Dreams,Fleetwood Mac,ZPA005,7
Dreams,Fleetwood Mac (Vocal),PS1379,2
Dreams,Gabrielle,SFGD012,1
Dreams,Game,PHM0508,17
Dreams,Molly Hatchet,AH8017,5
Dreams,Molly Hatchett,SGB0016,12
Dreams,Van Halen,JV0068,7
Dreams Of The Everyday Housewife,Glen Campbell,SC8509,14
Dress You Up,Madonna,SFHH05-3,6
Dressed For Success,Roxette,SFMW804,9
Drift And Die,Puddle Of Mudd,SC8758-V2,5
Drift Away,Dobie Gray,ZKH12,16
Drift Away,Uncle Kracker And Dobie Gray,SPC020,13
Drift Off To Dream,Travis Tritt,MM6080,8
Drifter,Sylvia,SC7556,12
Drifting,Sarah Mclachlan,ZPA075,7
Driftwood,Travis,SFMW802,2
Drink Drink Drink,Mario Lanza,SFMW902,5
Drink Swear Steal And Lie,Michael Peterson,SC8382,15
Drinkin' And Dreamin',Waylon Jennings,SC7568,6
Drinkin' Champagne,George Strait,SC8136,10
Drinkin' In My Sunday Dress,Susan Haynes,THM2006,--
Drinkin' My Baby (Off My Mind),Eddie Rabbitt,SC8183,15
Drinkin' My Baby Goodbye,Charlie Daniels Band,SC8455,2
Drinkin' Thing,Gary Stewart,SC7555,5
Drinking In La,Bran Van 3000,FIK010,9
Drip Drop,Dion And The Belmonts,SC8450,5
Drive,Cars,SF106,8
Drive,Incubus,TT059,5
Drive,Incubus (Vocal),PHM0103,13
Drive,R E M,ZPA107,6
Drive,Shannon Noll,SFKK50,12
Drive,Steve Wariner,SC8180,5
Drive (For Daddy Gene),Alan Jackson,SC8798,2
Drive All Night,Joss Stone,PHMU1110,4
Drive All Night,Joss Stone (Vocal),PHMU1110,13
Drive By,Train,SF315,14
Drive Me Crazy,Kevin Lyttle,PHM0412,7
Drive Me Crazy,Kevin Lyttle (Vocal),PHM0412,16
Drive Me Wild,Sawyer Brown,SC3117,6
Drive My Car,Beatles,ZPA091,5
Drive On,Johnny Cash,SC8324,4
Drive Safely Darling,Tony Christie,ZKH10,16
Drive South,Suzi Bogguss,SC8234,12
Drive South,Suzy Bogguss,PI216,7
Drivin' And Cryin',Steve Wariner,SC8219,10
Drivin' Cryin' Missin' You,K T Oslin,SC8729,3
Drivin' My Life Away,Eddie Rabbitt,SC8380,3
Driving Home For Christmas,Chris Rea,ZKH09,6
Driving In My Car,Madness,SFGD006,5
Driving With The Brakes On,Del Amitri,SFMW878,13
Drop It Low,Ester Dean And Chris Brown,PHMU0912,3
Drop It Low,Ester Dean And Chris Brown (V,PHMU0912,12
Drop The Boy,Bros,SF108,9
Drop The Pilot,Joan Armatrading,SFMW868,3
Dropkick Me Jesus,Bobby Bare,SC8604,3
Drops Of Jupiter,Train,TT033,3
Drops Of Jupiter (Tell Me),Train,SC8742,1
Drown,Son Volt,SC8263,3
Drown In My Own Tears,Ray Charles,LEG209,6
Drown You Out,Crossfade,PHM0612,7
Drown You Out,Crossfade (Vocal),PHM0612,16
Drowned World (Subsitiute For Love),Madonna,SFGD010,12
Drowning,Backstreet Boys,TT073,7
Drowning,Backstreet Boys (Vocal),PHM0201-V2,16
Drowning,Hootie And The Blowfish,SC8212,4
Drowning (Face Down),Saving Abel,CBE10-24,17
Drowning In Berlin,Mobiles,SFMW831,4
Drowning In The Sea Of Love,Eva Cassidy,ZPA033,1
Drowning In The Sea Of Love,Joe Simon,SC8603,7
Drugs Don't Work,Verve,SF114,15
Drummer Boy,Alesha Dixon,SF296,12
Drunk,Ed Sheeran,SF312,6
Drunken Lullabies,Flogging Molly,SC9010,2
Drunker Than Me,Trent Tomlinson,THM2006,--
Dry Your Eyes,Streets,EZH037,2
Du Hast (English Version),Rammstein,SC8756,9
Dub Be Good To Me,Beats International,SFMW852,10
Duck And Run,3 Doors Down,SC8680,5
Dude,Beenie Man And Ms Thing,PHM0410,8
Dude,Beenie Man And Ms Thing (Voca,PHM0410,17
Dude (Looks Like A Lady),Aerosmith,ZPA066,9
Duh Huh,Rappin' Duke,RC6907,3
Duke Of Earl,Gene Chandler,SFID005,10
Dulcinea,Man Of La Manch,SC8547,11
Dulcinea,Man Of La Mancha,LEGBR09,5
Dum Dum,Brenda Lee,SC8364,5
Dumas Walker,Kentucky Headhunters,SC8104,12
Dumb,411,EZH039,5
Dumb,Beautiful South,SFGD013,12
Dumb Girls,Lucy Woodward,PHM0305,7
Dumb Girls,Lucy Woodward (Vocal),PHM0305,16
Dumb Love,Sean Kingston,PHM1012,7
Dumb Love,Sean Kingston (Vocal),PHM1012,16
Dumpweed,Blink 182,SFGD035,9
Dune Buggy,Presidents Of The U S A,SC8295,11
Dunkie Butt,12 Gauge,SC8892,4
Durham Town,Roger Whittaker,EK045,8
Dusic,Brick,SC8386,11
Dust In The Wind,Kansas,SGB0039,13
Dust On The Bottle,David Lee Murphy,SC8194,5
Dustland Fairytale A,Killers,PHM0909,9
Dustland Fairytale A,Killers (Vocal),PHM0909,18
Dy Na Mi Tee,Ms Dynamite,SF196,3
Dy Na Mite,Ms Dynamite,SFTP3-04,4
D'ya Ever Get One Of Them Days Boy,Elvis Presley,EK051,14
Dy'er Maker,Led Zeppelin,SGB0026,15
D'yer Mak'er,Led Zeppelin,SC8437,13
Dynamite,Christina Aguilera,SFKK31,2
Dynamite,Mud,SF101,4
Dynamite,Taio Cruz,SFKK49,7
D'you Know What I Mean,Oasis,ZPA125,12
E Bow The Letter,R E M,SC8320,10
E I,Nelly,SC8659,3
E T,Katy Perry,SFKK54,11
Each Day Gets Better,John Legend,CBE09-27,2
Each Minute Seems Like A Million Ye,Eddy Arnold,SC8592,9
Eagle,Waylon Jennings,JV0072,10
Eagle Over Angel,Brother Phelps,SC8236,10
Eagle When She Flies,Dolly Parton,SC8214,3
Eagles Medley 1,Eagles,ZPA040,13
Eagles Medley 2,Eagles,ZPA040,14
Eagles Medley 3,Eagles,ZPA050,12
Early In The Morning,Buddy Holly,ZPA048,4
Early In The Morning,Gap Band,SC8704,9
Earth Angel,Penguins,PI027,3
Earth Angel (Will You Be Mine),Penguins,SC8418,8
Earth Dies Screaming,U B 40,SFGD002,17
Earth Song,Michael Jackson,SC8240,3
Earth The Sun The Rain,Color Me Badd,SC8286,8
Earthbound,Conor Reeves,SF117,6
Earthquake,Labrinth Feat Tinie Tempah,SF309,15
Earthquake,Labrinth Tinie Tempah,SFKK67,13
Ease My Troubled Mind,Ricochet,SC8504,9
Ease On Down The Road,Michael Jackson And Diana Ros,SAVP037,7
Easier Said Than Done,Essex,SC8226,2
Easier Said Than Done,Radney Foster,SC8130,2
East Bound And Down,Jerry Reed,SC8434,9
Eastbound And Down,Jerry Reed,SFMW929,11
Easy,Commodores,ZPA121,1
Easy,Faith No More,SFID009,8
Easy,Sugababes,ZPA126,6
Easy As Pie,Billy Crash Craddock,SC8400,4
Easy Come Easy Go,Bobby Sherman,SC8594,3
Easy Come Easy Go,Eight Strait Hits,SC2005,3
Easy Come Easy Go,George Strait,SC8144,2
Easy For Me To Say,Clint Black And Lisa Hartman,SC8729,1
Easy Livin',Uriah Heep,SC8201,5
Easy Look,Charlie Rich,SC8676,6
Easy Lover,Phil Bailey And Phil Collins,ZGY85,12
Easy Lover,Phil Collins And Phil Bailey,SFMW828,4
Easy Lover,Philip Bailey And Phil Collin,ZLP08,15
Easy Loving,Freddie Hart,SC8398,12
Easy Loving,Freddy Weller,SAVA012,18
Easy Money,Electric Light Orchestra,ZKH12,10
Easy Please Me,Katy B,SF304,17
Easy To Be Hard,Hair,SC8663,9
Easy To Be Hard,Three Dog Night,SC8178,10
Eat Drink And Be Merry (For Tomorro,Porter Wagoner,SC8400,8
Eat It,Weird Al Yankovic,SGB0023,16
Eat It,Wierd Al Yankovic,SFKK62,16
Eat The Rich,Aerosmith,SC8710,6
Eat The Rich,Krokus,SC8791,6
Ebay,Weird Al Yankovic,SFMW900,15
Ebb Tide,Righteous Brothers,JV0009,3
Ebb Tide,Roy Hamilton,SAVP030,6
Ebeneezer Good,Shamen,FIK005,5
Ebeneezer Goode,Shamen,SFGD032,10
Eberneezer Goode,Shamen,SFMW831,8
Ebony And Ivory,Paul Mccartney And Stevie Won,ZGY82,14
Ebony Eyes,Bob Welch,SC8588,12
Ebony Eyes (No Harmony),Everly Brothers,ZPA057,23
Ebony Eyes (With Harmony),Everly Brothers,ZPA057,10
Echo Beach,Martha And The Muffins,EK043,8
Echo Beach,Martha-and-the Muffins,SFMW928,5
Eclipse,Pink Floyd,LEG137,8
Eddie,Rocky Horror Picture Show,SC8472,11
Eddies Song,Son Of Dork,EZH053,8
Eddie's Song,Son Of Dork,SF240,7
Edelweiss,Sound Of Music,SFGD046,12
Edelweiss,Standard,JV0013,2
Edge Of A Broken Heart,Vixen,SC8329,15
Edge Of Glory,Lady Gaga,SFKK59,6
Edge Of Heaven,George Michael,JV0033,5
Edge Of Heaven,Wham,ZPA085,6
Edge Of Seventeen,Stevie Nicks,TT060,12
Eenie Meenie,Sean Kingston And Justin Bieb,SF293,6
Eenie Meenie,Sean Kingston Feat Justin Bie,SFKK45,5
Eensy Weensy Spider,Childrens,TT036,8
Ego,Beyonce,PHM0908,1
Ego,Beyonce (Vocal),PHM0908,10
Ego,Saturdays,SFMW920,12
Ego A Go Go,Robbie Williams,SFWS002,10
Eh Eh (Nothing Else I Can Say),Lady Gaga,SFKK32,6
Eh Eh (Nothing More I Can Say),Lady Gaga,QH1007,6
Eh Eh (Nothing More I Can Say),Lay Gaga,EKI36,2
Eight Days A Week,Beatles,ZPA090,11
Eight Miles High,Byrds,SC8683,14
Eighteen Wheels And A Dozen Roses,Kathy Mattea,SC8104,1
Eighth Day,Hazel O'connor,SFMW882,7
Eighties Ladies,Kt Oslin,MM6086,7
Eime Anevazmenos,Standard,SC8193,9
Einstein A Go Go,Landscape,SFMW845,6
El Captain,Opm,SF188,3
El Manana,Gorillaz,SFMW879,12
El Paso,Marty Robbins,SPC032,18
El Salvador,Athlete,SFMW908,11
El Toro Relajo,Selena,PS1222,13
El Toro Relajo,Selena (Vocal),PS1222,4
Eleanor,Turtles,PI015,15
Eleanor Put Your Boots On,Franz Ferdinand,THM2006,--
Eleanor Rigby,Beatles,ZPA109,2
Elected,Alice Cooper,SC8734,11
Election Day,Arcadia,SC8678,11
Electirc Slide,Marcia Griffiths,SGB0035,5
Electric Avenue,Eddy Grant,SGB0049,12
Electric Blue,Icehouse,SFID002,8
Electric Boogie,Marcia Griffith,LEG246,2
Electric Boogie,Marcia Griffiths,SC8330,8
Electric Feel,Mgmt,SFMW905,13
Electric Slide,Marcia Griffiths,TT055,18
Electric Youth,Debbie Gibson,SFKK56,12
Electrical Storm,U2,SFWS022,14
Electrolite,R E M,PI051,16
Electron Blue,R E M,SF229,9
Elegantly Wasted,Inxs,SFGD020,7
Elemental,Tears For Fears,PI050,9
Elenore,Turtles,SC7560-V2,4
Elephant,Alexandra Burke Feat Erick Mo,SF314,15
Elephant Stone,Stone Roses,SFGD030,6
Elevation,U2,TT062,6
Elevator Love,Guy Sebastian,SFKK14,2
Eleven Roses,Hank Williams Jnr,SC8385,4
Eleventh Commandment,Collin Raye,SC8496,15
Eli's Comin',Three Dog Night,LC003,5
Eli's Coming,Three Dog Night,SC8686,11
Elizabeth,Statler Brothers,SC8537,14
Eloise,Barry Ryan,SFMW900,4
Elusive Butterfly,Bob Lind,SAVP039,5
Elvira,Oak Ridge Boys,TT041,7
Elvis Ain't Dead,Scouting For Girls,ZPP04-1,13
Elvis And Andy,Confederate Railroad,SC8133,4
Elvis Intro ' Cc Rider (Live),Elvis Presley,EK051,1
Email My Heart,Britney Spears,SFMW815,12
Embarrassment,Madness,SFGD006,10
Embraceable You,Frank Sinatra,SGB0061,3
Eminence Front,Who,SC8684,3
Emma,Hot Chocolate,SFPL010,1
Emotion,Bee Gees,ZPA045,7
Emotion,Destiny's Child,TT074,2
Emotion,Destiny's Child (Vocal),PHM0108,10
Emotion,Samantha Sang,SC8627,12
Emotional,Carl Thomas,SC8664,10
Emotional,Diana Degarmo,PHM0502,7
Emotional,Diana Degarmo (Vocal),PHM0502,16
Emotional Girl,Terri Clark,SC8370,4
Emotional Rescue,Rolling Stones,LEG120,10
Emotionally Yours,O'jays,HD004,10
Emotions,Brenda Lee,DKK046,18
Emotions,Mariah Carey,SC8497,3
Empire,Kasabian,SF246,4
Empire,Queensryche,SC8660,3
Empire State Of Mind,Jay Z And Alicia Keys,SFKK39,8
Empire State Of Mind,Jay Z And Alicia Keys (Vocal),PHMU0912,10
Empire State Of Mind,Jay Z Feat Alicia Keys,SF284,13
Empire State Of Mind (Part 2),Alicia Keys,SFKK43,2
Emptiest Arms In The World,Merle Haggard,DKK075,16
Empty,Terri Clark,SC8748,12
Empty Arms,Stevie Ray Vaughan,SC2319,6
Empty Garden,Elton John,SC8687,1
Encore,Jason Derulo,SFKK54,14
End Of A Rainbow,Earl Grant,JV0020,5
End Of The Century,Blur,SFGD021,15
End Of The Innocence,Don Henley,ZPA041,6
End Of The Line,Traveling Wilberys,SFMW851,7
End Of The Line,Traveling Wilburys,ZKH05,15
End Of The Road,Boyz 2 Men,SFMW853,8
End Of The World,Boyz 2 Men,PI020,1
End Of The World,Brenda Lee,SAVP007,2
End Of The World,Herman's Hermits,LEG240,9
End Of The World,Skeeter Davis,SPC031,22
End Of The World,Susan Boyle,SFMW922,10
End Of Time,Beyonce,SF315,9
Endless Love,Diana Ross And Lionel Richie,ZPA121,15
Endless Love,Lionel Richie And Diana Ross,SC7519-V2,14
Endless Love,Luther Vandross,LEG217,16
Endless Love,Luther Vandross And Mariah Ca,SF025,6
Endless Love,Mariah Carey,LEG218,15
Endless Sleep,Jody Reynolds,SAVP030,19
Endless Summer Nights,Richard Marx,SFID011,5
Endlessly,Brook Benton,SC8255,4
Ends,Everlast,SC8534,5
Enemy,Days Of The New,SC8569,5
Energy,Keri Hilson,CBE10-23,16
Energy,Natalie,PHM0508,10
Engelbert The Elephant,Tom Paxton,SAVP040,5
Engine Number Nine,Roger Miller,SC8276,5
England 2 Columbia 0,Kirsty Maccoll,SFMW878,7
England Swings,Roger Miller,SC8191,14
Englishman In New York,Sting,ZPA095,12
Enjoy The Silence,Depeche Mode,SFMW862,6
Enjoy The Silence,Duran Duran,LEG193,10
Enjoy Yourself,Jacksons,SAVP038,2
Enola Gay,O M D,SF113,11
Enough Cryin,Mary J Blige,THM2006,--
Enough Of Me,Melissa Etheridge,SC8593,14
Enter Sandman,Metallica,SFMW852,11
Entourage,Omarion,THM2006,--
Epic,Faith No More,SC8568,5
Epiphany,Staind,SFMW841,10
Erasure Medley,Erasure,ZPA101,13
Ernie (The Fastest Milkman In The W,Benny Hill,SF095,2
Erotic City,Prince,SC8718,14
Erotica,Madonna,SFMW824,1
Escapade,Janet Jackson,CBE09-17,6
Escape,Enrique Iglesias,SF192,14
Escape,Enrique Iglesias (Vocal),PHM0205,10
Escape,Rupert Holmes,SAVP021,14
Escape (Pina Colada Song),Rupert Holmes,DKK016,5
Escape (The Pina Colada Song),Rupert Holmes,SFMW837,3
Especially For You,Kylie Minogue And Jason Donov,SFMW804,5
Eternal Flame,Atomic Kitten,TT074,18
Eternal Flame,Bangles,SGB0058,10
Eternal Love,Pj And Duncan,SF020,8
Eternally,Phonte Feat Median,PHMU1112,9
Eternally,Phonte Feat Median (Vocal),PHMU1112,18
Eternity,Robbie Williams,ZPA022,6
Eton Rifles,Jam,SFGD008,7
Etter To You,Shakin' Stevens,ZPA081,14
Eugene You Genius,Bryan White,SC8217,3
Evacuate The Dance Floor,Cascada,EKI40,1
Evacuate The Dancefloor,Cascada,SFKK37,10
Evangeline,Chad Brock,SC8480,4
Eve Of Destruction,Barry Mcguire,SC8563,13
Even Angels Fall,Jessica Riddle,SC8601,13
Even Better Than The Real Thing,U2,SFWS021,1
Even Cowgirls Get The Blues,Rodney Crowell,SC8275,1
Even Flow,Pearl Jam,SFWS044,2
Even God Can't Change The Past,Charlotte Church,EZH052,8
Even God Must Get The Blues,Jo Dee Messina,SC8596,2
Even If I Tried,Emilio,SC8232,12
Even If It's Wrong,Br5 49,SC8358,9
Even It Up,Heart,SC8331,5
Even Now,Barry Manilow,SGB0057,10
Even Now,Barry Manilow (Vocal),PS1235,6
Even The Man In The Moon Is Cryin',Mark Collie,JV0073,6
Even The Man In The Moon Is Crying,Mark Collie,SC8130,8
Even The Nights Are Better,Air Supply,SC8259,1
Even When It Don't Feel Like It,Paul Overstreet,SC8285,15
Ever Changing Woman,Brother Phelps,SC8137,6
Ever Fallen In Love,Buzzcocks,SF109,10
Ever Never Lovin' You,Ed Bruce,SC7570,14
Ever Since You Went Away,Art N' Soul,SC8281,2
Ever The Same,Rob Thomas,THM2006,--
Evergreen,Barbra Streisand,SFGD042,8
Evergreen,Barbra Streisand (Vocal),PS1002,4
Evergreen,Will Young,ZLP03,1
